,species_guess
0,Stephen's Rocket Frog
1,Ameerega trivittata
2,Physalaemus ephippifer
4,Lime Reed Frog
5,Allobates sumtuosus
6,Southern Vervet Monkey
7,Great Crested Flycatcher
8,Greater Coucal
9,Spectacled Parrotlet
10,Spring Peeper
11,California prionus
12,Black-backed Woodpecker
14,Pine Warbler
15,House Crow
16,Rio Grande Leopard Frog
17,Acadian Flycatcher (Empidonax virescens)
18,Red-spotted Toad
19,Hooded Warbler
20,Alder Flycatcher
21,Black-billed Cuckoo
22,Click Beetles
23,Gray-headed Pika
24,Say's Bush Cricket
25,Acris blanchardi
26,Okanagana nigrodorsata
27,Blue Mockingbird
28,Common Coneheads
29,Yellow-winged Cacique
30,American Crow
31,Rain Frogs
32,Anaxipha thomasi
33,Japanese Burrowing Cricket
34,Balantiopteryx plicata
35,Brown-headed Nuthatch
36,Swamp Cicada
37,Handsome Meadow Katydid
38,Gryllus
39,Orthoptera
41,Red-headed Bush Cricket
42,Upland Sandpiper
43,Black-legged Meadow Katydid
44,Large Red-tailed Bumblebee (Bombus lapidarius)
45,Hieroglyphic Cicada
46,American Pika
47,White-lipped Frog
48,Asian Common Toad
49,Nicobarese Frog
50,Indonesian Crested Toad
51,Sumatran Puddle Frog
53,Crowned Bullfrog
54,Buffy Fish-Owl
55,North Bornean Gray Gibbon
56,Common Southeast Asian Tree Frog
57,White-crowned Shama
58,Black Kite
59,Dusky-capped Flycatcher (Myiarchus tuberculifer)
60,Red Squirrel
61,Fox Squirrel
62,Oecanthus californicus pictipennis
63,American Toad (Anaxyrus americanus)
64,Ochthoeca cinnamomeiventris
65,Ringed Kingfisher
66,Barred Owl
67,Strecker's Chorus Frog
68,Sandhill Crane
69,Large-billed Crow
70,"Grasshoppers, Crickets, and Locusts (Order Orthoptera)"
71,Common True Katydid (Pterophylla camellifolia)
72,Calocitta colliei
73,Antillean Coqui
74,Trumpeter Swan
75,Elegant Euphonia
76,Cope's Gray Tree Frog
77,Hylodes
78,Red-headed Woodpecker (Melanerpes erythrocephalus)
79,Brown Thrasher
80,Red Snouted Treefrog (Scinax ruber)
81,Dendropsophus
83,Great Horned Owl
84,Northern Pacific Tree Frog
85,cajun chorus frog
87,Pseudopaludicola pocoto
88,Sibilator Frog
89,Caatinga White-lipped Frog
90,Gray Treefrog
91,Pseudacris streckeri
92,Pacific Wren
93,Red-eyed Vireo
94,Little Spotted Kiwi
95,Possum
96,Red-crowned Parrot
97,Golden-cheeked Warbler
98,Yellow-throated Warbler
99,Eastern Meadowlark
103,green frog
105,Blanchard's Cricket Frog
107,Bachman's Sparrow
109,Black-and-white Warbler
110,Summer Tanager
111,Woodpeckers
112,Common Chiffchaff
113,Wood Frog
116,Rusty Blackbird
117,Canada Goose
118,Great-tailed Grackle
119,Rose-breasted Grosbeak
120,Prairie Warbler
122,Northern Waterthrush
123,Fowler's Toad
124,Dickcissel
125,Green Treefrog
126,Cerulean Warbler
127,Golden-winged Warbler
128,Estornino pinto
129,Northern Flicker
130,Yellow-breasted Chat
131,American Toad
132,Black Vulture
134,Golden-winged × Blue-winged Warbler
136,Northern Bobwhite
138,Gulf Coast Toad
139,Blue Jay
140,Tufted Titmouse
141,Sapo excavador mexicano
142,killdeer
143,Eurasian Blackcap
144,Bullfrog
145,Rana leopardo del noreste
146,Coyote
147,Greater Whitethroat
148,Tawny Owl
150,American Goshawk
151,Cacama californica
152,Passer griseus
153,Oriental Magpie-Robin
154,Marsh Wren
155,Black-naped Oriole
156,Indigo Bunting
157,Geopelia striata
159,Nebraska Conehead
160,Laughing Gull
161,Northern Mockingbird
162,Spotted Towhee
163,Duck-bill Hylid Frog
164,Dwarf Mexican Tree frog (Tlacolohyla smithii)
165,Dwarf Mexican tree frog (Tlacolohyla smithii)
166,Rana de árbol mexicana
167,Orange-crowned Warbler
168,Western Meadowlark
169,Baird's Sparrow
170,Rana de árbol mexicana enana
171,Ranita verduzca
172,White-crowned Sparrow
173,Robust Conehead
174,Fall Field Cricket
175,Guayaquil Dwarf Frog
176,Rana arborícola trompuda
177,Mexican Leaf frog (Pachymedusa dacnicolor)
180,Mexican Leaf Frog (Pachymedusa dacnicolor)
181,Oblong-winged Katydid
182,Cistothorus stellaris
184,Mexican leaf frog (Pachymedusa dacnicolor)
187,Roesel's Bush-cricket
188,Dwarf Mexican Treefrog
189,Nyctalus noctula
190,Anas platyrhynchos
191,Water Frogs
192,Saltamonte de cuernos largos
193,Rana de bigotes
194,"Ants, Bees, Wasps and Sawflies"
196,Southern Hill Myna
197,Markia hystrix
198,Yuma Myotis
199,Mexican Free-tailed Bat
200,Big Brown Bat
201,Canyon bat
202,Carolina Chickadee
203,Tlalocohyla smithii
205,Rana chirriadora dedos chatos
207,Yellow-spotted Rock Hyrax
208,Noisy Miner
209,Bushtit
212,Grey Warbler
214,Blackbird
215,Shining Cuckoo
216,Song Thrush
217,Black Phoebe
218,New Zealand Falcon
219,Red-winged Blackbird
220,North Island Kaka
221,North Island Fantail
222,Grey Parrot
223,White-throated Sparrow
224,Australasian Harrier
225,Waynad bush frog
226,Sambar
228,Red-shouldered Hawk
229,Phainopepla
230,White-winged Chough
231,Five-striped Palm Squirrel
232,Argya
233,Boat-billed Flycatcher
234,Cabanis's Wren
235,Black-shouldered Lapwing
236,Crissal Thrasher
237,Oak Titmouse
238,Hoary Bat
240,Yuma myotis
242,Fossa
243,Virginia Rail
244,Swamp Sparrow
246,Rana italica
247,Steller's Jay
248,New Zealand Kingfisher
249,American Robin
250,Allen's Hummingbird
251,Wrentit
252,Ruby-crowned Kinglet
253,Italian Agile Frog
254,Пушистый дятел
255,Rana di Lataste
256,Australasian Magpie
257,Chorus Cicada
258,Eastern Gray Squirrel
259,Anna's Hummingbird
261,Cooper's Hawk
262,House Finch
263,White-throated Magpie-Jay
264,Striped Sparrow
266,Southern Leopard Frog
268,Cajun Chorus Frog
269,Northern Cardinal
270,Crawfish Frog
271,West Mexican Chachalaca
272,Lasiurus frantzii
274,Black-tailed Prairie Dog
275,Southwestern Red Squirrel
276,Coqui Antillano
277,great kiskadee
278,PISI
279,tricolored blackbird
280,Dark-eyed Junco
281,Giant waterlily
282,Boat-billed Heron
