species_guess,iconic_taxon_name,count
Bats,Mammalia,12457
Red-winged Blackbird,Aves,1538
Northern Cardinal,Aves,1281
American Crow,Aves,1279
Northern Mockingbird,Aves,1131
House Sparrow,Aves,1040
Song Sparrow,Aves,993
American Robin,Aves,950
Carolina Wren,Aves,877
Fish Crow,Aves,837
Common Raven,Aves,676
European Starling,Aves,648
House Finch,Aves,617
Gray Catbird,Aves,611
Canada Goose,Aves,574
Varpunen,Aves,550
Blue Jay,Aves,534
Red-shouldered Hawk,Aves,523
lesser large-footed bat,Mammalia,507
Common Grackle,Aves,489
House Wren,Aves,489
Spring Peeper,Amphibia,453
Boreal Chorus Frog,Amphibia,420
Great Horned Owl,Aves,420
Black-capped Chickadee,Aves,419
Northern Flicker,Aves,418
Red-bellied Woodpecker,Aves,410
Eastern Towhee,Aves,407
Wood Frog,Amphibia,400
Spotted Towhee,Aves,390
Birds,Aves,374
Eurasian Blackbird,Aves,364
Killdeer,Aves,358
Sandhill Crane,Aves,347
Osprey,Aves,344
Indigo Bunting,Aves,341
Cooper's Hawk,Aves,338
Great Tit,Aves,334
Tufted Titmouse,Aves,334
Dark-eyed Junco,Aves,332
Barred Owl,Aves,326
Mexican Free-tailed Bat,Mammalia,321
Садовая Камышевка,Aves,310
Brown Thrasher,Aves,309
American Goldfinch,Aves,308
Perching Birds,Aves,307
Bewick's Wren,Aves,302
Pileated Woodpecker,Aves,293
Red-tailed Hawk,Aves,288
Evening Bats,Mammalia,287
Willow Flycatcher,Aves,285
European Robin,Aves,285
Big Brown Bat,Mammalia,276
Eastern Gray Squirrel,Mammalia,272
Great-tailed Grackle,Aves,270
Red-eyed Vireo,Aves,262
Summer Tanager,Aves,253
Downy Woodpecker,Aves,250
American Toad,Amphibia,242
Western Meadowlark,Aves,242
Eastern Meadowlark,Aves,239
White-eyed Vireo,Aves,236
Carolina Chickadee,Aves,225
Cedar Waxwing,Aves,223
Brown-headed Cowbird,Aves,223
Hairy Woodpecker,Aves,220
Eastern Wood-Pewee,Aves,218
American Red Squirrel,Mammalia,217
Dickcissel,Aves,217
Chipping Sparrow,Aves,217
Пеночка-теньковка,Aves,214
Common Chaffinch,Aves,214
Baltimore Oriole,Aves,213
Mallard,Aves,211
Common Yellowthroat,Aves,207
Восточный соловей,Aves,206
Зяблик,Aves,206
Barn Swallow,Aves,205
Common Chiffchaff,Aves,203
Pipistrellus pipistrellus,Mammalia,202
White-crowned Sparrow,Aves,199
Eastern Phoebe,Aves,197
Marsh Wren,Aves,196
Great Crested Flycatcher,Aves,196
Hoary Bat,Mammalia,194
Yellow Warbler,Aves,194
Song Thrush,Aves,192
Пеночка-весничка,Aves,192
Acadian Flycatcher,Aves,190
諸羅樹蛙,Amphibia,190
California Thrasher,Aves,177
Pipistrelle Commune,Mammalia,176
American Redstart,Aves,175
Anna's Hummingbird,Aves,174
Blue-gray Gnatcatcher,Aves,173
Mourning Dove,Aves,172
Purple Martin,Aves,171
Lesser Goldfinch,Aves,171
Hermit Thrush,Aves,170
Warbling Vireo,Aves,170
Pine Warbler,Aves,169
Silver-haired Bat,Mammalia,169
Wood Thrush,Aves,167
Gray Treefrog,Amphibia,166
Kohlmeise,Aves,166
Swainson's Thrush,Aves,165
Belted Kingfisher,Aves,163
White-breasted Nuthatch,Aves,160
Eurasian Blue Tit,Aves,159
鳥綱,Aves,157
European Greenfinch,Aves,156
Red Crossbill,Aves,156
Cope's Gray Treefrog,Amphibia,155
Ruby-crowned Kinglet,Aves,155
European Goldfinch,Aves,154
Pacific Wren,Aves,153
Winter Wren,Aves,153
Alder Flycatcher,Aves,151
Большая синица,Aves,151
Eurasian Blackcap,Aves,150
Boat-tailed Grackle,Aves,147
Eurasian Wren,Aves,146
Great Spotted Woodpecker,Aves,145
White-throated Sparrow,Aves,145
Least Flycatcher,Aves,144
Rusty Blackbird,Aves,141
Большой пёстрый дятел,Aves,140
Yellow-breasted Chat,Aves,140
Common Pipistrelle,Mammalia,139
Merlin,Aves,137
Red-breasted Nuthatch,Aves,137
Green Frog,Amphibia,136
Australian Magpie,Aves,135
